"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
1.930,0.128,-3.965,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.940,0.154,-3.993,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
1.950,0.186,-4.021,"---.---","---.---",50.571,"---.---","---.---","---.---","","","",""
1.960,0.229,-4.040,"---.---","---.---",50.581,"---.---","---.---","---.---","","","",""
1.970,0.280,-4.054,"---.---","---.---",50.591,"---.---","---.---","---.---","","","",""
1.980,0.342,-4.065,"---.---","---.---",50.601,"---.---","---.---","---.---","","","",""
1.990,0.405,-4.079,"---.---","---.---",50.567,"---.---","---.---","---.---","","","",""
2.000,0.463,-4.089,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
2.010,0.514,-4.109,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.020,0.563,-4.131,"---.---","---.---",50.493,"---.---","---.---","---.---","","","",""
2.030,0.616,-4.152,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
2.040,0.665,-4.166,"---.---","---.---",50.440,"---.---","---.---","---.---","","","",""
2.050,0.709,-4.169,"---.---","---.---",50.435,"---.---","---.---","---.---","","","",""
2.060,0.740,-4.177,"---.---","---.---",50.415,"---.---","---.---","---.---","","","",""
2.070,0.765,-4.185,"---.---","---.---",50.391,"---.---","---.---","---.---","","","",""
2.080,0.782,-4.196,"---.---","---.---",50.381,"---.---","---.---","---.---","","","",""
2.090,0.792,-4.206,"---.---","---.---",50.391,"---.---","---.---","---.---","","","",""
2.100,0.801,-4.219,"---.---","---.---",50.435,"---.---","---.---","---.---","","","",""
2.110,0.800,-4.237,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
2.120,0.797,-4.255,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.130,0.792,-4.271,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.140,0.782,-4.290,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
2.150,0.768,-4.307,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
2.160,0.753,-4.325,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
2.170,0.734,-4.346,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
2.180,0.705,-4.363,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.190,0.663,-4.364,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
2.200,0.619,-4.374,"---.---","---.---",50.645,"---.---","---.---","---.---","","","",""
2.210,0.576,-4.371,"---.---","---.---",50.650,"---.---","---.---","---.---","","","",""
2.220,0.528,-4.368,"---.---","---.---",50.615,"---.---","---.---","---.---","","","",""
2.230,0.471,-4.370,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
2.240,0.401,-4.377,"---.---","---.---",50.493,"---.---","---.---","---.---","","","",""
2.250,0.331,-4.387,"---.---","---.---",50.459,"---.---","---.---","---.---","","","",""
2.260,0.268,-4.399,"---.---","---.---",50.454,"---.---","---.---","---.---","","","",""
2.270,0.213,-4.419,"---.---","---.---",50.469,"---.---","---.---","---.---","","","",""
2.280,0.160,-4.441,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
2.290,0.109,-4.472,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
2.300,0.053,-4.508,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
2.310,-0.010,-4.549,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.320,-0.068,-4.589,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.330,-0.123,-4.629,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
2.340,-0.171,-4.667,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
2.350,-0.210,-4.696,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
2.360,-0.251,-4.720,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
2.370,-0.290,-4.744,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
2.380,-0.336,-4.764,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
2.390,-0.384,-4.789,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
2.400,-0.428,-4.812,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
2.410,-0.459,-4.835,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
2.420,-0.483,-4.854,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
2.430,-0.497,-4.876,"---.---","---.---",50.586,"---.---","---.---","---.---","","","",""
2.440,-0.499,-4.896,"---.---","---.---",50.601,"---.---","---.---","---.---","","","",""
2.450,-0.502,-4.915,"---.---","---.---",50.591,"---.---","---.---","---.---","","","",""
2.460,-0.495,-4.925,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
2.470,-0.490,-4.938,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.480,-0.481,-4.948,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
2.490,-0.466,-4.949,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
2.500,-0.454,-4.962,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
2.510,-0.442,-4.967,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
2.520,-0.423,-4.975,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
